FEN,Evaluation,BestMove
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,51,e2e4
rnbqkbnr/pp1ppppp/2p5/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,57,c7c6
rnbqkbnr/pp1ppppp/2p5/8/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2,41,d2d4
rnbqkbnr/pp2pppp/2p5/3p4/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 0 3,52,d7d5
rnbqkbnr/pp2pppp/2p5/3pP3/3P4/8/PPP2PPP/RNBQKBNR b KQkq - 0 3,43,e4e5
rn1qkbnr/pp2pppp/2p5/3pPb2/3P4/8/PPP2PPP/RNBQKBNR w KQkq - 1 4,38,c8f5
rn1qkbnr/pp2pppp/2p5/3pPb2/3P4/5N2/PPP2PPP/RNBQKB1R b KQkq - 2 4,37,g1f3
rn1qkbnr/pp3ppp/2p1p3/3pPb2/3P4/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 5,44,e7e6
rn1qkbnr/pp3ppp/2p1p3/3pPb2/3P4/5N2/PPP1BPPP/RNBQK2R b KQkq - 1 5,34,f1e2
rn1qkbnr/pp3ppp/4p3/2ppPb2/3P4/5N2/PPP1BPPP/RNBQK2R w KQkq - 0 6,39,c6c5
rn1qkbnr/pp3ppp/4p3/2ppPb2/3P4/4BN2/PPP1BPPP/RN1QK2R b KQkq - 1 6,33,c1e3
rn2kbnr/pp3ppp/1q2p3/2ppPb2/3P4/4BN2/PPP1BPPP/RN1QK2R w KQkq - 2 7,35,d8b6
rn2kbnr/pp3ppp/1q2p3/2ppPb2/2PP4/4BN2/PP2BPPP/RN1QK2R b KQkq - 0 7,34,c2c4
rn2kbnr/pp3ppp/4p3/2ppPb2/2PP4/4BN2/Pq2BPPP/RN1QK2R w KQkq - 0 8,29,b6b2
rn2kbnr/pp3ppp/4p3/2ppPb2/2PP4/4BN2/Pq1NBPPP/R2QK2R b KQkq - 1 8,26,b1d2
rn2kb1r/pp2nppp/4p3/2ppPb2/2PP4/4BN2/Pq1NBPPP/R2QK2R w KQkq - 2 9,24,g8e7
rn2kb1r/pp2nppp/4p3/2ppPb2/2PP4/4BN2/Pq1NBPPP/R2Q1RK1 b kq - 3 9,17,e1g1
r3kb1r/pp2nppp/2n1p3/2ppPb2/2PP4/4BN2/Pq1NBPPP/R2Q1RK1 w kq - 4 10,19,b8c6
r3kb1r/pp2nppp/2n1p3/2ppPb2/2PP4/1N2BN2/Pq2BPPP/R2Q1RK1 b kq - 5 10,28,d2b3
r3kb1r/pp2nppp/2n1p3/2p1Pb2/2pP4/1N2BN2/Pq2BPPP/R2Q1RK1 w kq - 0 11,33,d5c4
r3kb1r/pp2nppp/2n1p3/2p1Pb2/2BP4/1N2BN2/Pq3PPP/R2Q1RK1 b kq - 0 11,37,e2c4
3rkb1r/pp2nppp/2n1p3/2p1Pb2/2BP4/1N2BN2/Pq3PPP/R2Q1RK1 w k - 1 12,45,a8d8
3rkb1r/pp2nppp/2n1p3/2N1Pb2/2BP4/4BN2/Pq3PPP/R2Q1RK1 b k - 0 12,35,b3c5
3rkb1r/pp3ppp/2n1p3/2NnPb2/2BP4/4BN2/Pq3PPP/R2Q1RK1 w k - 1 13,51,e7d5
3rkb1r/pp3ppp/2n1p3/2NBPb2/3P4/4BN2/Pq3PPP/R2Q1RK1 b k - 0 13,42,c4d5
4kb1r/pp3ppp/2n1p3/2NrPb2/3P4/4BN2/Pq3PPP/R2Q1RK1 w k - 0 14,35,d8d5
4kb1r/pp3ppp/2n1p3/3rPb2/3P4/3NBN2/Pq3PPP/R2Q1RK1 b k - 1 14,16,c5d3
4kb1r/pp3ppp/2n1p3/3rPb2/3P4/q2NBN2/P4PPP/R2Q1RK1 w k - 2 15,31,b2a3
4kb1r/pp3ppp/2n1p3/3rPb2/3P1N2/q3BN2/P4PPP/R2Q1RK1 b k - 3 15,12,d3f4
3rkb1r/pp3ppp/2n1p3/4Pb2/3P1N2/q3BN2/P4PPP/R2Q1RK1 w k - 4 16,6,d5d8
3rkb1r/pp3ppp/2n1p3/4Pb2/3P1N1N/q3B3/P4PPP/R2Q1RK1 b k - 5 16,-3,f3h4
3rkb1r/pp3p1p/2n1p3/4Pbp1/3P1N1N/q3B3/P4PPP/R2Q1RK1 w k - 0 17,-9,g7g5
3rkb1r/pp3p1p/2n1p3/4PbpN/3P3N/q3B3/P4PPP/R2Q1RK1 b k - 1 17,-2,f4h5
3rkb1r/pp3p1p/2n1p3/4Pb1N/3P3p/q3B3/P4PPP/R2Q1RK1 w k - 0 18,25,g5h4
3rkb1r/pp3p1p/2n1pN2/4Pb2/3P3p/q3B3/P4PPP/R2Q1RK1 b k - 1 18,25,h5f6
3r1b1r/pp2kp1p/2n1pN2/4Pb2/3P3p/q3B3/P4PPP/R2Q1RK1 w - - 2 19,35,e8e7
3r1b1r/pp2kp1p/2n1pN2/4Pb1Q/3P3p/q3B3/P4PPP/R4RK1 b - - 3 19,47,d1h5
3r3r/pp2kpbp/2n1pN2/4Pb1Q/3P3p/q3B3/P4PPP/R4RK1 w - - 4 20,46,f8g7
3r3r/pp2kpbp/2n1pN2/4Pb2/3P3Q/q3B3/P4PPP/R4RK1 b - - 0 20,56,h5h4
